序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
11,V5bCQAzNzcxNDQ5OTatxqZpN00LHw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTatxqZpN00LHw!!.jpg,吸薯冰川纱,2026年03月03日 19:31,横滨新格兰俱乐部层，特种兵行政酒廊关门了没拍到，设施一般风景不赖，山下公园旁边，酒店有花园，前台可全英文。,0,
12,V5bCQAzNzcxNDQ5OTasxqZpc1IMHw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTasxqZpc1IMHw!!.jpg,吸薯冰川纱,2026年03月03日 19:31,横滨新格兰俱乐部层，特种兵行政酒廊关门了没拍到，设施一般风景不赖，山下公园旁边，酒店有花园，前台可全英文。,0,
13,V5bCQAzNzcxNDQ5OTarxqZpXK0RHw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTarxqZpXK0RHw!!.jpg,吸薯冰川纱,2026年03月03日 19:31,横滨新格兰俱乐部层，特种兵行政酒廊关门了没拍到，设施一般风景不赖，山下公园旁边，酒店有花园，前台可全英文。,0,
14,V5bCQAzNzcxNDQ5OTaqxqZpz.0WHw!!,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTaqxqZpz.0WHw!!,吸薯冰川纱,2026年03月03日 19:31,横滨新格兰俱乐部层，特种兵行政酒廊关门了没拍到，设施一般风景不赖，山下公园旁边，酒店有花园，前台可全英文。,0,
15,6A48A53C-D189-427C-8445-2FFE65EDBC6D_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6A48A53C-D189-427C-8445-2FFE65EDBC6D_hd.jpg,M-Licinivs-Crassvs,2026年03月03日 17:35,东京帝国饭店-本馆普通楼层双床套房 穷区最误闯天家的一集，酒店住客基本上都是上年纪的日本老登和全世界的商务客。酒店服务非常完美，办理入住后会有服务生陪同把行李送到房间并且简单介绍房间设施，退房时行李会有专人直接送到出租车上面。 （最重要的是遇到的服务生都可以英文无障碍沟通，这点在牢日真的很难得。。。）,0,
16,F5CC9A03-1F3D-485C-B093-6F9E7645F8E4_thumb.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/F5CC9A03-1F3D-485C-B093-6F9E7645F8E4_thumb.jpg,M-Licinivs-Crassvs,2026年03月03日 17:35,东京帝国饭店-本馆普通楼层双床套房 穷区最误闯天家的一集，酒店住客基本上都是上年纪的日本老登和全世界的商务客。酒店服务非常完美，办理入住后会有服务生陪同把行李送到房间并且简单介绍房间设施，退房时行李会有专人直接送到出租车上面。 （最重要的是遇到的服务生都可以英文无障碍沟通，这点在牢日真的很难得。。。）,0,
17,ADCCC88F-3A9D-4A49-8F01-2B597AD54EB9_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/ADCCC88F-3A9D-4A49-8F01-2B597AD54EB9_big.jpg,可劲,2026年02月28日 00:10,横滨希尔顿 pre房 未升行政为我要求的（,0,
18,E13CD3BB-0F90-49B8-B38C-E44BD270A656_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/E13CD3BB-0F90-49B8-B38C-E44BD270A656_big.jpg,可劲,2026年02月28日 00:10,横滨希尔顿 pre房 未升行政为我要求的（,0,
19,0C1CFAA5-1D2D-4A7A-8E51-1DE8CD957CCA_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/0C1CFAA5-1D2D-4A7A-8E51-1DE8CD957CCA_big.jpg,可劲,2026年02月28日 00:10,横滨希尔顿 pre房 未升行政为我要求的（,0,
20,AE1C0AA2-560E-4E23-835D-C602EF5EFF6F_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/AE1C0AA2-560E-4E23-835D-C602EF5EFF6F_hd.jpg,mu死吗,2026年02月26日 18:16,虹桥宾馆郁金香行政，一般不给套，行政有欢迎水果，酒廊happy hour是套餐的形式,0,
21,EA96F51A-6FCD-4A78-820A-68F1B80109CD_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/EA96F51A-6FCD-4A78-820A-68F1B80109CD_hd.jpg,mu死吗,2026年02月26日 18:16,虹桥宾馆郁金香行政，一般不给套，行政有欢迎水果，酒廊happy hour是套餐的形式,0,
22,C45276C9-46A1-4200-998B-440FBAE495D4_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/C45276C9-46A1-4200-998B-440FBAE495D4_big.jpg,可劲,2026年02月25日 18:42,成都兴隆湖希尔顿逸林欢乐时光 品质很好 比很多本家酒廊强 甜品很好吃 下午茶更好 可惜这次入住晚了 推荐！,0,
23,45227CA0-9846-49BC-8D32-ECE94C51BB24_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/45227CA0-9846-49BC-8D32-ECE94C51BB24_big.jpg,可劲,2026年02月25日 18:42,成都兴隆湖希尔顿逸林欢乐时光 品质很好 比很多本家酒廊强 甜品很好吃 下午茶更好 可惜这次入住晚了 推荐！,0,
24,3FF91106-67BF-4EFC-BA03-8CC5D8DA38BD_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3FF91106-67BF-4EFC-BA03-8CC5D8DA38BD_big.jpg,可劲,2026年02月25日 18:42,成都兴隆湖希尔顿逸林欢乐时光 品质很好 比很多本家酒廊强 甜品很好吃 下午茶更好 可惜这次入住晚了 推荐！,0,
25,472750A9-D575-4D65-B3D5-951D372E2CC2_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/472750A9-D575-4D65-B3D5-951D372E2CC2_big.jpg,可劲,2026年02月25日 18:42,成都兴隆湖希尔顿逸林欢乐时光 品质很好 比很多本家酒廊强 甜品很好吃 下午茶更好 可惜这次入住晚了 推荐！,0,
26,1A474D37-4F5B-4802-827E-BAA507FD3844_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1A474D37-4F5B-4802-827E-BAA507FD3844_big.jpg,可劲,2026年02月25日 18:42,成都兴隆湖希尔顿逸林欢乐时光 品质很好 比很多本家酒廊强 甜品很好吃 下午茶更好 可惜这次入住晚了 推荐！,0,
27,DFC05B54-6749-4EE8-AAD5-6DF4631AFB51_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/DFC05B54-6749-4EE8-AAD5-6DF4631AFB51_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
28,D29A5D5C-9D21-4511-97A8-96D1BA505055_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/D29A5D5C-9D21-4511-97A8-96D1BA505055_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
29,1AB9A809-7E7A-4918-B822-284C4E0C3BD3_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/1AB9A809-7E7A-4918-B822-284C4E0C3BD3_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
30,F2A0DFED-7792-4A89-8CC2-C963ACF14DC3_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/F2A0DFED-7792-4A89-8CC2-C963ACF14DC3_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
31,E19320D7-6CD5-43F8-B8FE-1217B8E6A4DB_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/E19320D7-6CD5-43F8-B8FE-1217B8E6A4DB_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
32,7307B13F-E946-470C-BCD6-EC8D52A804AC_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/7307B13F-E946-470C-BCD6-EC8D52A804AC_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
33,5D6A61D2-90D9-4B83-BA61-47835BA9617A_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/5D6A61D2-90D9-4B83-BA61-47835BA9617A_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
34,B6FE1774-6127-464B-B42C-4ABEA7FF37F2_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/B6FE1774-6127-464B-B42C-4ABEA7FF37F2_big.jpg,可劲,2026年02月25日 17:47,成都兴隆湖希尔顿逸林 豪华大床湖景,0,
35,76129546-B099-4C7A-8503-36DCC5D652F1_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/76129546-B099-4C7A-8503-36DCC5D652F1_hd.jpg,Ayasnow,2026年02月22日 13:27,嘉兴希尔顿 双床豪华套,0,
36,E4F7CEBC-053B-448B-A0D1-B55C44B17A7F_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/E4F7CEBC-053B-448B-A0D1-B55C44B17A7F_hd.jpg,Ayasnow,2026年02月22日 13:27,嘉兴希尔顿 双床豪华套,0,
37,01187B53-A672-4546-B1BB-1A3DC43A0CA4_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/01187B53-A672-4546-B1BB-1A3DC43A0CA4_hd.jpg,Ayasnow,2026年02月22日 13:27,嘉兴希尔顿 双床豪华套,0,
38,A2DA1E52-CE99-4AA3-91A0-510E5AF27399_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/A2DA1E52-CE99-4AA3-91A0-510E5AF27399_hd.jpg,Ayasnow,2026年02月22日 13:27,嘉兴希尔顿 双床豪华套,0,
39,DB47A56E-9CB6-46E6-A5D9-143BB1C2BC12_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/DB47A56E-9CB6-46E6-A5D9-143BB1C2BC12_hd.jpg,Ayasnow,2026年02月22日 13:25,常州希尔顿 豪华套,0,
40,08C741C3-C0E7-46FF-B456-AC96B5C4AC39_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/08C741C3-C0E7-46FF-B456-AC96B5C4AC39_hd.jpg,Ayasnow,2026年02月22日 13:25,常州希尔顿 豪华套,0,
41,C5990A23-12F4-4307-A706-D18653AEB8A0_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/C5990A23-12F4-4307-A706-D18653AEB8A0_hd.jpg,Ayasnow,2026年02月22日 13:25,常州希尔顿 豪华套,0,
42,V5bCQAzNzcxNDQ5OTbIyZlpNcmkFA!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTbIyZlpNcmkFA!!.jpg,夢疾風,2026年02月21日 23:05,新加坡文华东方,0,
43,V5bCQAzNzcxNDQ5OTbHyZlpilufFA!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTbHyZlpilufFA!!.jpg,夢疾風,2026年02月21日 23:05,新加坡文华东方,0,
44,V5bCQAzNzcxNDQ5OTbVyJlpZKsYBg!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTbVyJlpZKsYBg!!.jpg,瓜子,2026年02月21日 23:01,吉安格兰云天 浴缸里面有不明毛发,0,
45,26BF2B4D-1083-4F86-8FEB-193AEC1FCEAF_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/26BF2B4D-1083-4F86-8FEB-193AEC1FCEAF_big.jpg,1,2026年02月21日 17:39,大阪华尔道夫,0,
46,V5bCQAzNzcxNDQ5OTZeeJlpoqbjHw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/V5bCQAzNzcxNDQ5OTZeeJlpoqbjHw!!.jpg,white,2026年02月21日 17:18,全季大兴机场店,0,
47,16FA0CD5-ECC9-4CF1-8E7F-35EC65D08EAA_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/16FA0CD5-ECC9-4CF1-8E7F-35EC65D08EAA_hd.jpg,JL死吗,2026年04月03日 00:34,"利物浦Aloft
没有套房，房型布局和家具选品略显诡异，但是胜在面积够大",0,
48,BEE22C5B-E8F0-4EDE-9D3D-224FA9685D8B_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/BEE22C5B-E8F0-4EDE-9D3D-224FA9685D8B_hd.jpg,JL死吗,2026年04月03日 00:34,"利物浦Aloft
没有套房，房型布局和家具选品略显诡异，但是胜在面积够大",0,
49,38E84849-3291-4B89-8C99-F0F553440D83_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/38E84849-3291-4B89-8C99-F0F553440D83_hd.jpg,JL死吗,2026年04月03日 00:34,"利物浦Aloft
没有套房，房型布局和家具选品略显诡异，但是胜在面积够大",0,
50,BE0D3314-B372-47AC-89BD-FEB514CC3EF2_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/BE0D3314-B372-47AC-89BD-FEB514CC3EF2_hd.jpg,JL死吗,2026年04月03日 00:34,"利物浦Aloft
没有套房，房型布局和家具选品略显诡异，但是胜在面积够大",0,
51,7B19496E-B6FE-4DF1-88A8-BFA6F0A6D516_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/7B19496E-B6FE-4DF1-88A8-BFA6F0A6D516_hd.jpg,JL死吗,2026年04月03日 00:34,"利物浦Aloft
没有套房，房型布局和家具选品略显诡异，但是胜在面积够大",0,
52,20260402_1907_lieriheart新干线拼票加我_3300f6913f.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/20260402_1907_lieriheart新干线拼票加我_3300f6913f.jpg,lieriheart新干线拼票加我,2026年04月02日 19:07,苏州万豪公寓,0,
53,20260402_1907_lieriheart新干线拼票加我_7d3b6e9b13.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/20260402_1907_lieriheart新干线拼票加我_7d3b6e9b13.jpg,lieriheart新干线拼票加我,2026年04月02日 19:07,苏州万豪公寓,0,
54,20260402_1907_lieriheart新干线拼票加我_3c41925383.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/20260402_1907_lieriheart新干线拼票加我_3c41925383.jpg,lieriheart新干线拼票加我,2026年04月02日 19:07,苏州万豪公寓,0,
55,20260402_1907_lieriheart新干线拼票加我_2b6accaa70.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/20260402_1907_lieriheart新干线拼票加我_2b6accaa70.jpg,lieriheart新干线拼票加我,2026年04月02日 19:07,苏州万豪公寓,0,
56,CB8D008E-36D1-4F70-A793-79AE0A07A2C6_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/CB8D008E-36D1-4F70-A793-79AE0A07A2C6_big.jpg,cz死吗,2026年04月01日 22:21,厦门海沧希尔顿逸林要饭成功，位置离市区比较远，最近的地铁站有1km多，不过周边风景不错，餐饮门店也很多，本来免费升的海景可以上高层，但是问了一下六楼还有套房，果断选了套房。,0,
57,A98AE554-B5BE-467B-8CCE-99306326A30C_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/A98AE554-B5BE-467B-8CCE-99306326A30C_big.jpg,cz死吗,2026年04月01日 22:21,厦门海沧希尔顿逸林要饭成功，位置离市区比较远，最近的地铁站有1km多，不过周边风景不错，餐饮门店也很多，本来免费升的海景可以上高层，但是问了一下六楼还有套房，果断选了套房。,0,
58,CD12FF67-1E73-489B-9069-857B79FF0686_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/CD12FF67-1E73-489B-9069-857B79FF0686_big.jpg,cz死吗,2026年04月01日 22:21,厦门海沧希尔顿逸林要饭成功，位置离市区比较远，最近的地铁站有1km多，不过周边风景不错，餐饮门店也很多，本来免费升的海景可以上高层，但是问了一下六楼还有套房，果断选了套房。,0,
59,235BC21A-3AFF-49E6-AF79-761428F38A3D_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/235BC21A-3AFF-49E6-AF79-761428F38A3D_big.jpg,cz死吗,2026年04月01日 22:21,厦门海沧希尔顿逸林要饭成功，位置离市区比较远，最近的地铁站有1km多，不过周边风景不错，餐饮门店也很多，本来免费升的海景可以上高层，但是问了一下六楼还有套房，果断选了套房。,0,
60,C548343E-D35D-499B-8EEC-851052F5A0FC_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/C548343E-D35D-499B-8EEC-851052F5A0FC_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
61,EB1C214F-0DCA-49DB-8C83-587454D0A1B1_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/EB1C214F-0DCA-49DB-8C83-587454D0A1B1_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
62,FFB5ED96-C29B-4B5B-ABF2-E3B55721D28C_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/FFB5ED96-C29B-4B5B-ABF2-E3B55721D28C_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
63,7C5714FA-B3DD-4DAB-9B0A-B786DA0AAD98_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/7C5714FA-B3DD-4DAB-9B0A-B786DA0AAD98_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
64,6805912B-0F18-4E17-A615-6B608A8FBA08_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6805912B-0F18-4E17-A615-6B608A8FBA08_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
65,0E161A76-1D61-44A4-8D17-F92246C58278_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/0E161A76-1D61-44A4-8D17-F92246C58278_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
66,C1CA3BBB-614C-4D8A-A8BD-7FF764A2F79F_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/C1CA3BBB-614C-4D8A-A8BD-7FF764A2F79F_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
67,DB8E2EFB-D73E-4136-A8D6-099478349B2C_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/DB8E2EFB-D73E-4136-A8D6-099478349B2C_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
68,3A881F9E-D53E-42F1-B584-FC771F42D8E5_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/3A881F9E-D53E-42F1-B584-FC771F42D8E5_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
69,FD9C31C3-C867-4C48-9DBD-E71902C3660E_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/FD9C31C3-C867-4C48-9DBD-E71902C3660E_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
70,6EC82CE4-20C8-40C0-B1C7-18B554D08421_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/6EC82CE4-20C8-40C0-B1C7-18B554D08421_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
71,7D44074F-E287-4B76-AA8F-DA5E0C3F87C6_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/7D44074F-E287-4B76-AA8F-DA5E0C3F87C6_big.jpg,弦卷心的Tourbillon Sm,2026年03月30日 23:00,"janu tokyo，aman她小老妹。
除普以外都有露台
去过两次，有少女歌剧景房和餐厅和酒吧，大堂顶级，层高较低，有服务问题，但越后期磨合越好，FO有一些奇怪履历的，地理位置为东京新贵，若是希望公共交通出行非常方便的酒店，不一定需要打车。",0,
72,80F64E17-5F46-4159-A920-966882598721_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/酒店房间（展示要饭成果）/images/80F64E17-5F46-4159-A920-966882598721_big.jpg,CA死妈,2026年03月30日 16:13,"上海北外滩金辉索菲特 行政大床
免房券换的",0,
